file_name,start_seconds,end_seconds,duration_seconds
1_wayne_0_2_2,9.467,20.633,11.167
1_wayne_0_3_3,8.8,19.933,11.133
1_wayne_0_4_4,11.733,23.067,11.333
1_wayne_0_6_6,11.467,20.6,9.133
1_wayne_0_65_65,9.833,18.1,8.267
1_wayne_0_73_73,11.933,23.2,11.267
1_wayne_0_81_81,10.8,20.933,10.133
1_wayne_0_87_87,9.467,19.8,10.333
10_kieks_0_5_5,10.267,21.0,10.733
10_kieks_0_73_73,8.333,19.667,11.333
10_kieks_0_8_8,11.667,20.733,9.067
10_kieks_0_95_95,10.567,21.5,10.933
11_nidal_0_111_111,11.5,21.567,10.067
11_nidal_0_3_3,8.467,20.333,11.867
11_nidal_0_73_73,9.9,21.633,11.733
11_nidal_0_81_81,11.567,22.767,11.2
12_zhao_0_2_2,10.667,19.3,8.633
12_zhao_0_81_81,9.767,20.433,10.667
12_zhao_0_87_87,9.833,21.133,11.3
12_zhao_0_103_103,59.567,69.0,9.433
13_lu_0_103_103,11.467,20.5,9.033
13_lu_0_73_73,9.967,21.867,11.9
13_lu_0_81_81,10.067,21.133,11.067
13_lu_0_95_95,10.8,18.867,8.067
15_carlos_0_1_1,10.933,22.933,12.0
15_carlos_0_111_111,11.667,22.867,11.2
15_carlos_0_65_65,11.267,22.533,11.267
15_carlos_0_87_87,11.533,21.8,10.267
16_jorge_0_1_1,10.533,20.567,10.033
16_jorge_0_103_103,11.7,23.3,11.6
16_jorge_0_65_65,11.2,20.7,9.5
16_jorge_0_2_2,38.8,50.167,11.367
17_itoi_0_103_103,10.967,22.633,11.667
17_itoi_0_2_2,11.867,22.567,10.7
17_itoi_0_65_65,9.467,20.4,10.933
17_itoi_0_73_73,8.367,18.233,9.867
18_daiki_0_111_111,11.033,22.567,11.533
18_daiki_0_65_65,7.3,19.167,11.867
18_daiki_0_81_81,9.233,20.8,11.567
18_daiki_0_2_2,22.767,33.9,11.133
2_scott_0_1_1,7.467,17.833,10.367
2_scott_0_111_111,9.6,19.4,9.8
2_scott_0_2_2,8.2,19.067,10.867
2_scott_0_3_3,11.967,19.7,7.733
2_scott_0_65_65,10.7,22.6,11.9
2_scott_0_7_7,10.5,22.2,11.7
2_scott_0_8_8,10.267,19.967,9.7
2_scott_0_87_87,10.633,21.167,10.533
20_li_0_1_1,9.5,18.7,9.2
20_li_0_111_111,10.267,21.567,11.3
20_li_0_65_65,11.7,23.367,11.667
20_li_0_95_95,11.467,21.667,10.2
21_ayana_0_65_65,12.067,21.733,9.667
21_ayana_0_81_81,7.867,19.5,11.633
21_ayana_0_103_103,65.567,74.0,8.433
21_ayana_0_111_111,51.8,62.133,10.333
22_luqi_0_103_103,11.3,22.9,11.6
22_luqi_0_73_73,11.533,22.333,10.8
22_luqi_0_87_87,10.933,22.7,11.767
22_luqi_0_95_95,11.767,23.067,11.3
23_hailing_0_103_103,10.067,20.133,10.067
23_hailing_0_111_111,11.333,23.033,11.7
23_hailing_0_81_81,9.267,20.967,11.7
23_hailing_0_95_95,11.8,22.7,10.9
24_kexin_0_103_103,11.567,22.8,11.233
24_kexin_0_111_111,11.733,23.2,11.467
24_kexin_0_65_65,8.867,20.867,12.0
24_kexin_0_87_87,10.767,22.1,11.333
25_goto_0_111_111,10.867,22.0,11.133
25_goto_0_2_2,11.567,22.5,10.933
25_goto_0_95_95,11.633,23.533,11.9
25_goto_0_81_81,21.5,33.167,11.667
27_yingqing_0_1_1,10.733,20.667,9.933
27_yingqing_0_103_103,10.8,20.967,10.167
27_yingqing_0_65_65,11.067,23.0,11.933
27_yingqing_0_73_73,11.233,23.033,11.8
28_tiffnay_0_2_2,10.933,19.367,8.433
28_tiffnay_0_65_65,11.367,22.2,10.833
28_tiffnay_0_73_73,11.4,23.367,11.967
28_tiffnay_0_81_81,10.067,20.767,10.7
3_solomon_0_111_111,11.467,23.467,12.0
3_solomon_0_2_2,11.867,23.367,11.5
3_solomon_0_4_4,8.067,17.533,9.467
3_solomon_0_5_5,9.967,21.2,11.233
30_katya_0_111_111,10.533,21.833,11.3
30_katya_0_2_2,9.733,21.467,11.733
30_katya_0_87_87,10.667,21.967,11.3
30_katya_0_95_95,9.033,20.6,11.567
4_lawrence_0_65_65,10.733,22.5,11.767
4_lawrence_0_81_81,11.6,23.367,11.767
4_lawrence_0_87_87,11.633,22.367,10.733
4_lawrence_0_95_95,11.0,21.633,10.633
5_stewart_0_103_103,11.667,20.833,9.167
5_stewart_0_65_65,8.533,18.967,10.433
5_stewart_0_7_7,9.767,19.033,9.267
5_stewart_0_8_8,9.433,19.5,10.067
6_carla_0_103_103,11.667,23.2,11.533
6_carla_0_65_65,11.733,21.833,10.1
6_carla_0_73_73,11.933,22.867,10.933
6_carla_0_87_87,11.7,22.133,10.433
7_sophie_0_111_111,11.1,20.433,9.333
7_sophie_0_65_65,11.9,23.5,11.6
7_sophie_0_73_73,9.967,19.267,9.3
7_sophie_0_8_8,10.733,22.333,11.6
9_miranda_0_65_65,9.067,20.967,11.9
9_miranda_0_73_73,8.833,19.733,10.9
9_miranda_0_87_87,13.233,21.7,8.467
9_miranda_0_95_95,10.433,22.133,11.7
